ID NurPenBatch SowID Nur2ADG_Adj Nur2ADG
1628 4D_D5 4D_837 0.299575517241379 0.388965517241379
1629 4D_D2 4D_805 0.211989310344828 0.301379310344828
1630 4D_D7 4D_874 0.349087103448276 0.433793103448276
1631 4D_D3 4D_668 0.467018137931035 0.551724137931034
1632 4D_D10 4D_805 0.414747931034483 0.504137931034483
1633 4D_D7 4D_968 0.378742275862069 0.463448275862069
1634 4D_D4 4D_956 0.314747931034483 0.404137931034483
1635 4D_D8 4D_860 0.415983655172414 0.500689655172414
1636 4D_D3 4D_260 0.644072068965517 0.595862068965517
1637 4D_D5 4D_968 0.261500896551724 0.346206896551724
1638 4D_D6 4D_843 0.727018137931035 0.811724137931034
1639 4D_D7 4D_874 0.459431931034483 0.544137931034483
1640 4D_D6 4D_683 0.557506551724138 0.646896551724138
1641 4D_D2 4D_839 0.116485862068966 0.0682758620689655
1642 4D_D4 4D_959 0.147707793103448 0.232413793103448
1643 4D_D8 4D_670 0.32081124137931 0.40551724137931
1644 4D_D5 4D_773 0.440121586206897 0.524827586206897
1645 4D_D3 4D_773 0.369087103448276 0.453793103448276
1646 4D_D5 4D_839 0.149920344827586 0.239310344827586
1647 4D_D10 4D_970 0.355437586206897 0.444827586206897
1648 4D_D9 4D_497 0.395983655172414 0.480689655172414
1649 4D_D4 4D_860 0.160121586206897 0.244827586206897
1650 4D_D2 4D_683 0.414058275862069 0.503448275862069
1651 4D_D4 4D_773 0.167018137931034 0.251724137931034
1652 4D_D11 4D_247 0.177362965517241 0.262068965517241
1653 4D_D4 4D_472 0.280954827586207 0.370344827586207
1654 4D_D5 4D_874 0.165638827586207 0.250344827586207
1655 4D_D6 4D_843 0.564949172413793 0.649655172413793
1656 4D_D2 4D_874 0.745307793103448 0.692413793103448
1657 4D_D2 4D_773 0.267707793103448 0.352413793103448
1658 4D_D2 4D_839 0.269230689655172 0.358620689655172
1659 4D_D3 4D_860 0.273225034482759 0.357931034482759
